Entidad federativa;Grupo quinquenal de edad;Población
Chiapas;40 a 44 años;329204
Chiapas;45 a 49 años;284333
Chiapas;50 a 54 años;243848
Chiapas;55 a 59 años;196355
Chiapas;60 a 64 años;158726
Chiapas;65 a 69 años;125777
Chiapas;70 a 74 años;85855
Chiapas;75 a 79 años;63158
Chiapas;80 a 84 años;38245
Chiapas;85 a 89 años;21839
Chiapas;90 a 94 años;8853
Chiapas;95 a 99 años;3855
Chiapas;100 años y más;1449
Chiapas;No especificado;27844
Chihuahua;Total;3741869
Chihuahua;0 a 4 años;291286
Chihuahua;5 a 9 años;317322
Chihuahua;10 a 14 años;333715
Chihuahua;15 a 19 años;326333
Chihuahua;20 a 24 años;314067
Chihuahua;25 a 29 años;298299
Chihuahua;30 a 34 años;275644
Chihuahua;35 a 39 años;263669
Chihuahua;40 a 44 años;251983
Chihuahua;45 a 49 años;248522
Chihuahua;50 a 54 años;219930
Chihuahua;55 a 59 años;173639
Chihuahua;60 a 64 años;140861
Chihuahua;65 a 69 años;100944
Chihuahua;70 a 74 años;74018
Chihuahua;75 a 79 años;50265
Chihuahua;80 a 84 años;31387
Chihuahua;85 a 89 años;15250
Chihuahua;90 a 94 años;5376
Chihuahua;95 a 99 años;1477
Chihuahua;100 años y más;243
Chihuahua;No especificado;7639
Ciudad de México;Total;9209944
Ciudad de México;0 a 4 años;479904
Ciudad de México;5 a 9 años;563907
Ciudad de México;10 a 14 años;608962
Ciudad de México;15 a 19 años;650389
Ciudad de México;20 a 24 años;714605
Ciudad de México;25 a 29 años;752289
Ciudad de México;30 a 34 años;743611
Ciudad de México;35 a 39 años;705850
Ciudad de México;40 a 44 años;670307
Ciudad de México;45 a 49 años;668945
Ciudad de México;50 a 54 años;623483
Ciudad de México;55 a 59 años;526447
Ciudad de México;60 a 64 años;469514
Ciudad de México;65 a 69 años;356196
Ciudad de México;70 a 74 años;267744
Ciudad de México;75 a 79 años;175215
Ciudad de México;80 a 84 años;117480
Ciudad de México;85 a 89 años;66316
Ciudad de México;90 a 94 años;28780
Ciudad de México;95 a 99 años;9066
Ciudad de México;100 años y más;1308
Ciudad de México;No especificado;9626
Durango;Total;1832650
Durango;0 a 4 años;167600
